URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-house-vic-oakleigh-150785740,Oakleigh,3166,1 Bishop Street,-37.905174,145.093334,2,1,house,3,2026-05-02,495,m2,"$1,280,000"
property-apartment-vic-oakleigh-150500464,Oakleigh,3166,201/63-65 Atherton Road,-37.8989481,145.0927662,2,1,apartment,1,2026-04-24,,,"$460,000"
property-house-vic-oakleigh-150712212,Oakleigh,3166,170 Atherton Road,-37.900633,145.102345,3,2,house,2,2026-04-18,466,m2,"$1,155,500"
property-unit-vic-oakleigh-150649632,Oakleigh,3166,1/119 Burlington Street,-37.90325,145.103349,3,1,unit,2,2026-04-18,285,m2,"$872,500"
property-apartment-vic-oakleigh-150640980,Oakleigh,3166,2/2 Albert Avenue,-37.89808065,145.0936248,2,1,apartment,1,2026-04-18,,,"$580,000"
property-unit-vic-oakleigh-150500604,Oakleigh,3166,3/1 Parer Street,-37.90874604,145.0980665,2,1,unit,2,2026-04-11,,,"$808,000"
property-townhouse-vic-oakleigh-150684016,Oakleigh,3166,5/2 Stamford Road,-37.8917555,145.1015166,3,3,townhouse,2,2026-04-10,,,"$1,025,000"
property-house-vic-oakleigh-150703704,Oakleigh,3166,33 Tamar Grove,-37.898402,145.096431,3,2,house,1,2026-04-08,539,m2,"$1,800,000"
property-house-vic-oakleigh-150485084,Oakleigh,3166,16 Lincoln Avenue,-37.899073,145.099485,4,2,house,2,2026-03-28,,,"$1,560,000"
property-house-vic-oakleigh-150511528,Oakleigh,3166,191 Huntingdale Road,-37.901866,145.105043,3,2,house,3,2026-03-28,544,m2,"$1,245,000"
property-house-vic-oakleigh-150408448,Oakleigh,3166,2 Norfolk Avenue,-37.898842,145.100821,3,2,house,3,2026-03-23,352,m2,"$1,292,500"
property-house-vic-oakleigh-150388028,Oakleigh,3166,5 Saxon Court,-37.8934539,145.1042014,5,3,house,4,2026-03-21,875,m2,"$1,967,500"
property-unit-vic-oakleigh-150488064,Oakleigh,3166,2/22 Palmerston Grove,-37.897121,145.091596,2,1,unit,1,2026-03-18,250,m2,"$930,000"
property-apartment-vic-oakleigh-142780556,Oakleigh,3166,508/2 Dalgety Street,-37.89199272,145.089514,2,2,apartment,1,2026-03-17,,,"$600,000"
property-house-vic-oakleigh-150352064,Oakleigh,3166,21 Hatter Street,-37.905686,145.087702,3,1,house,2,2026-03-14,506,m2,"$1,525,000"
property-house-vic-oakleigh-150256844,Oakleigh,3166,112 Burlington Street,-37.903514,145.102737,3,1,house,1,2026-03-14,666,m2,"$1,300,000"
property-apartment-vic-oakleigh-150515276,Oakleigh,3166,110/19-21 Hanover Street,-37.90085826,145.0917337,1,1,apartment,1,2026-03-14,,,"$375,000"
property-apartment-vic-oakleigh-149754244,Oakleigh,3166,10/103 Atherton Road,-37.89929566,145.0950164,1,1,apartment,1,2026-03-14,,,"$345,000"
property-apartment-vic-oakleigh-150350804,Oakleigh,3166,4/45 Railway Avenue,-37.91059982,145.1033125,1,1,apartment,1,2026-03-08,,,"$300,000"
property-townhouse-vic-oakleigh-150213492,Oakleigh,3166,2/41 Andrew Street,-37.90951179,145.0936862,4,2,townhouse,2,2026-02-28,241,m2,"$1,310,000"
property-house-vic-oakleigh-150069040,Oakleigh,3166,44 Haughton Road,-37.90402575,145.0924121,5,2,house,2,2026-02-28,357,m2,"$1,250,000"
property-apartment-vic-oakleigh-148941560,Oakleigh,3166,G01/16 Dalgety Street,-37.89212027,145.090512,2,2,apartment,1,2026-02-25,,,"$505,000"
property-apartment-vic-oakleigh-149987364,Oakleigh,3166,111/19-21 Hanover Street,-37.90085826,145.0917337,1,1,apartment,1,2026-02-23,,,"$360,000"
property-house-vic-oakleigh-150115688,Oakleigh,3166,96 Burlington Street,-37.903275,145.100787,2,1,house,4,2026-02-21,669,m2,"$1,353,000"
property-unit-vic-oakleigh-150051968,Oakleigh,3166,2/16 Winifred Street,-37.89570248,145.1022997,3,2,unit,2,2026-02-21,,,"$1,171,000"
property-townhouse-vic-oakleigh-150071136,Oakleigh,3166,1/7 Holland Court,-37.90075905,145.0968711,2,2,townhouse,1,2026-02-21,240,m2,"$1,125,000"
property-apartment-vic-oakleigh-150079560,Oakleigh,3166,209/63-65 Atherton Road,-37.8989481,145.0927662,2,1,apartment,1,2026-02-21,,,"$470,000"
property-unit-vic-oakleigh-150030256,Oakleigh,3166,1/3 Tamar Grove,-37.89652601,145.0968512,3,1,unit,2,2026-02-19,273,m2,"$1,160,000"
property-unit-vic-oakleigh-149611080,Oakleigh,3166,1&2/11 Palmer Street,-37.896434,145.091774,3,2,unit,2,2026-02-17,,,"$1,700,000"
property-apartment-vic-oakleigh-150024988,Oakleigh,3166,1/79 Atherton Road,-37.89912265,145.093875,2,1,apartment,1,2026-02-14,,,"$520,000"
property-apartment-vic-oakleigh-150143948,Oakleigh,3166,10/82-86 Atherton Road,-37.89942033,145.0937799,2,1,apartment,1,2026-02-10,,,"$465,000"
property-apartment-vic-oakleigh-150061548,Oakleigh,3166,106/1525 Dandenong Road,-37.89289355,145.0905128,2,1,apartment,1,2026-02-08,,,"$510,000"
property-unit-vic-oakleigh-149569572,Oakleigh,3166,1/791 Warrigal Road,-37.89012881,145.0889956,2,1,unit,1,2026-02-06,,,"$555,000"
property-apartment-vic-oakleigh-149279736,Oakleigh,3166,201/1525 Dandenong Road,-37.89289355,145.0905128,2,2,apartment,1,2026-01-15,,,"$440,500"
property-townhouse-vic-oakleigh-149276340,Oakleigh,3166,2/8-10 McIntosh Street,-37.91053053,145.0993884,4,3,townhouse,2,2026-01-14,,,"$1,400,000"
property-house-vic-oakleigh-149765764,Oakleigh,3166,140 Atherton Road,-37.900235,145.099478,4,3,house,2,2025-12-20,628,m2,"$1,571,000"
property-house-vic-oakleigh-149753276,Oakleigh,3166,23 George Street,-37.902609,145.101942,3,2,house,2,2025-12-20,544,m2,"$1,475,000"
property-townhouse-vic-oakleigh-149674664,Oakleigh,3166,4/28 Devon Grove,-37.89600217,145.1034485,4,2,townhouse,2,2025-12-16,,,"$1,090,000"
property-house-vic-oakleigh-149160636,Oakleigh,3166,112 Warrigal Road,-37.904796,145.086178,4,1,house,2,2025-12-15,489,m2,"$890,000"
property-house-vic-oakleigh-149455824,Oakleigh,3166,20 Eastgate Street,-37.905674,145.08917,3,1,house,1,2025-11-25,534,m2,"$1,450,000"
property-apartment-vic-oakleigh-147442888,Oakleigh,3166,5/83-85 Drummond Street,-37.89241813,145.0906601,2,1,apartment,1,2025-11-19,73,m2,"$460,000"
property-apartment-vic-oakleigh-149350048,Oakleigh,3166,110/6 Dalgety Street,-37.89199272,145.089514,2,1,apartment,1,2025-11-17,,,"$500,000"
property-unit-vic-oakleigh-149403384,Oakleigh,3166,1149A North Road,-37.909732,145.088367,2,1,unit,2,2025-11-15,262,m2,"$730,000"
property-house-vic-oakleigh-149366956,Oakleigh,3166,38 Tamar Grove,-37.898938,145.096736,2,1,house,4,2025-11-11,540,m2,"$1,220,000"
property-apartment-vic-oakleigh-148896452,Oakleigh,3166,14/41 Railway Avenue,-37.91059982,145.1033125,1,1,apartment,,2025-11-11,,,"$190,000"
property-house-vic-oakleigh-149335132,Oakleigh,3166,22 Gadd Street,-37.909685,145.097039,4,2,house,4,2025-11-09,700,m2,"$1,581,000"
property-house-vic-oakleigh-148747072,Oakleigh,3166,23 Clyde Street,-37.897431,145.095478,8,3,house,3,2025-11-08,638,m2,"$1,880,000"
property-unit-vic-oakleigh-149314224,Oakleigh,3166,3/21 John Street,-37.90239265,145.1009819,2,1,unit,1,2025-11-08,,,"$835,000"
property-apartment-vic-oakleigh-149241440,Oakleigh,3166,214/6 Dalgety Street,-37.89199272,145.089514,2,2,apartment,1,2025-10-31,,,"$549,500"
property-townhouse-vic-oakleigh-149224160,Oakleigh,3166,4/110 Atherton Road,-37.89981539,145.0963986,2,1,townhouse,1,2025-10-30,1219,m2,"$597,000"
property-apartment-vic-oakleigh-149065984,Oakleigh,3166,208/16 Dalgety Street,-37.89212027,145.090512,2,2,apartment,1,2025-10-27,,,"$545,000"
property-house-vic-oakleigh-149173060,Oakleigh,3166,31a Clyde Street,-37.898437,145.095248,3,1,house,3,2025-10-25,487,m2,"$1,510,000"
property-apartment-vic-oakleigh-147007224,Oakleigh,3166,316/2 Dalgety Street,-37.89199272,145.089514,2,2,apartment,1,2025-10-23,,,"$570,000"
property-house-vic-oakleigh-149105912,Oakleigh,3166,6 William Street,-37.901409,145.103519,4,2,house,2,2025-10-18,,,"$2,145,000"
property-house-vic-oakleigh-148132628,Oakleigh,3166,19 Winifred Street,-37.895868,145.101933,5,3,house,3,2025-10-18,697,m2,"$1,410,000"
property-townhouse-vic-oakleigh-148844728,Oakleigh,3166,5/87 Atkinson Street,-37.89189082,145.0934265,3,2,townhouse,2,2025-10-16,,,"$1,010,000"
property-unit-vic-oakleigh-149256788,Oakleigh,3166,1/36 Heath Avenue,-37.902356,145.099786,2,1,unit,2,2025-10-14,178,m2,"$890,000"
property-apartment-vic-oakleigh-148782844,Oakleigh,3166,102/89 Atherton Road,-37.89920414,145.0943799,1,1,apartment,1,2025-10-13,,,"$460,000"
property-townhouse-vic-oakleigh-149055512,Oakleigh,3166,2/14 Gadd Street,-37.90918319,145.0971287,3,2,townhouse,2,2025-10-11,,,"$1,271,000"
property-residential land-vic-oakleigh-204303464,Oakleigh,3166,1243 North Road,-37.91084,145.098784,,,residential land,,2025-10-11,701,m2,"$1,024,500"
property-townhouse-vic-oakleigh-149097260,Oakleigh,3166,1/1151 North Road,-37.90975384,145.0885341,4,3,townhouse,2,2025-10-08,287,m2,"$1,156,000"
property-apartment-vic-oakleigh-148722696,Oakleigh,3166,501/83-85 Drummond Street,-37.89241813,145.0906601,2,2,apartment,1,2025-10-08,,,"$505,000"
property-house-vic-oakleigh-149006364,Oakleigh,3166,26 Heath Avenue,-37.901975,145.098955,3,2,house,2,2025-10-04,548,m2,"$1,575,000"
property-townhouse-vic-oakleigh-148824828,Oakleigh,3166,4/2 Stamford Road,-37.8917555,145.1015166,4,2,townhouse,2,2025-10-04,,,"$1,050,000"
property-townhouse-vic-oakleigh-148854820,Oakleigh,3166,2/19 John Street,-37.90218079,145.1010231,4,2,townhouse,2,2025-09-26,252,m2,"$1,200,000"
property-house-vic-oakleigh-147639092,Oakleigh,3166,7A Caloola Avenue,-37.89048,145.090335,3,1,house,1,2025-09-21,696,m2,"$1,360,000"
property-house-vic-oakleigh-148727752,Oakleigh,3166,22 Heath Avenue,-37.901915,145.09857,5,3,house,2,2025-09-13,548,m2,"$2,025,000"
property-house-vic-oakleigh-148844776,Oakleigh,3166,23 Gadd Street,-37.909536,145.096702,4,2,house,2,2025-09-08,542,m2,"$1,950,000"
property-apartment-vic-oakleigh-148622744,Oakleigh,3166,111/89 Atherton Road,-37.89920414,145.0943799,2,1,apartment,1,2025-09-08,,,"$575,000"
property-unit-vic-oakleigh-148718292,Oakleigh,3166,1/3 Albert Avenue,-37.89758571,145.0940126,2,1,unit,1,2025-09-03,,,"$576,000"
property-apartment-vic-oakleigh-148796004,Oakleigh,3166,109/6 Dalgety Street,-37.89199272,145.089514,1,1,apartment,1,2025-09-02,,,"$415,000"
property-unit-vic-oakleigh-148723148,Oakleigh,3166,1/16 Winifred Street,-37.89570248,145.1022997,3,2,unit,1,2025-08-30,,,"$960,000"
property-house-vic-oakleigh-148814512,Oakleigh,3166,8 Clyde Street,-37.896486,145.096083,2,1,house,,2025-08-29,302,m2,"$1,180,000"
property-house-vic-oakleigh-148623884,Oakleigh,3166,110 Burlington Street,-37.903484,145.102545,5,5,house,4,2025-08-24,631,m2,"$2,510,000"
