URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-unit-vic-reservoir-150929348,Reservoir,3073,1/25 Cheddar Road,-37.71138665,145.0108136,2,1,unit,1,2026-05-07,250,m2,"$633,000"
property-house-vic-reservoir-150803804,Reservoir,3073,29 Claremont Crescent,-37.695243,144.979402,4,2,house,4,2026-05-02,615,m2,"$1,000,000"
property-house-vic-reservoir-150805848,Reservoir,3073,28 Strathmerton Street,-37.716167,145.019674,3,1,house,2,2026-05-02,611,m2,"$820,000"
property-townhouse-vic-reservoir-150769292,Reservoir,3073,3/35 Whitelaw Street,-37.71405477,145.0153858,3,3,townhouse,2,2026-05-02,160,m2,"$715,000"
property-unit-vic-reservoir-150801444,Reservoir,3073,5/18 George Street,-37.71783575,145.0003534,2,1,unit,1,2026-05-02,,,"$700,000"
property-unit-vic-reservoir-150820508,Reservoir,3073,6/75 Barton Street,-37.71149473,145.0013691,1,1,unit,1,2026-05-02,,,"$540,000"
property-house-vic-reservoir-150971924,Reservoir,3073,13 Mccasker Avenue,-37.703853,145.003986,4,2,house,4,2026-05-01,928,m2,"$2,292,000"
property-unit-vic-reservoir-150774552,Reservoir,3073,2/3 View Street,-37.71960838,144.9921267,2,1,unit,1,2026-04-29,169,m2,"$705,000"
property-unit-vic-reservoir-150835456,Reservoir,3073,3/37-39 George Street,-37.716517,145.000185,2,1,unit,1,2026-04-28,,,"$553,000"
property-house-vic-reservoir-150812904,Reservoir,3073,48 Powell Street,-37.726159,144.999246,3,2,house,2,2026-04-27,,,"$1,573,000"
property-house-vic-reservoir-150833152,Reservoir,3073,5 Pratt Street,-37.710988,145.010215,3,1,house,8,2026-04-27,635,m2,"$1,070,000"
property-townhouse-vic-reservoir-150547404,Reservoir,3073,1B/1 Liston Avenue,-37.697852,145.020037,4,3,townhouse,2,2026-04-27,,,"$1,065,000"
property-house-vic-reservoir-150879368,Reservoir,3073,160 Broadway,-37.717457,145.015476,3,1,house,2,2026-04-27,636,m2,"$950,000"
property-house-vic-reservoir-150801260,Reservoir,3073,22 Merrilands Road,-37.695442,145.007013,3,1,house,2,2026-04-25,888,m2,"$900,500"
property-townhouse-vic-reservoir-150751148,Reservoir,3073,2/3 Mack Street,-37.70348073,145.0129038,3,2,townhouse,2,2026-04-25,,,"$765,000"
property-house-vic-reservoir-150712416,Reservoir,3073,2/8 Loddon Avenue,-37.72319274,145.0268308,3,1,house,2,2026-04-25,299,m2,"$730,000"
property-unit-vic-reservoir-150502544,Reservoir,3073,4/146 St Vigeons Road,-37.70558821,145.0176673,2,1,unit,1,2026-04-25,,,"$590,000"
property-townhouse-vic-reservoir-150817032,Reservoir,3073,4/957 High Street,-37.70957498,145.008259,2,2,townhouse,1,2026-04-23,,,"$560,000"
property-apartment-vic-reservoir-150769780,Reservoir,3073,304/76 Tyler Street,-37.73275397,145.0307221,2,2,apartment,1,2026-04-23,,,"$496,382"
property-unit-vic-reservoir-150613148,Reservoir,3073,6/165 Edwardes Street,-37.71562686,144.9979781,1,1,unit,1,2026-04-23,,,"$385,000"
property-apartment-vic-reservoir-150709088,Reservoir,3073,2/833 High Street,-37.72716233,145.0057124,2,1,apartment,1,2026-04-22,,,"$500,000"
property-unit-vic-reservoir-150547448,Reservoir,3073,3/1A Wilkinson Street,-37.72754663,145.0191632,1,1,unit,1,2026-04-21,,,"$375,000"
property-apartment-vic-reservoir-150405436,Reservoir,3073,8/289 Broadway,-37.71708115,145.0088459,1,1,apartment,,2026-04-20,441,m2,"$300,000"
property-house-vic-reservoir-150689828,Reservoir,3073,12 Crispe Street,-37.728197,144.994528,3,1,house,2,2026-04-18,627,m2,"$1,180,000"
property-house-vic-reservoir-150682008,Reservoir,3073,19 Pershing Street,-37.725492,144.993965,3,1,house,4,2026-04-18,789,m2,"$1,150,000"
property-townhouse-vic-reservoir-150659016,Reservoir,3073,3/107 Barton Street,-37.71115635,144.998162,2,2,townhouse,2,2026-04-18,,,"$785,000"
property-house-vic-reservoir-150682004,Reservoir,3073,34 Andrews Avenue,-37.72984871,145.0332991,2,1,house,1,2026-04-18,220,m2,"$607,000"
property-apartment-vic-reservoir-150742448,Reservoir,3073,3/31 Kenilworth Street,-37.71408547,145.0044183,1,1,apartment,1,2026-04-18,,,"$390,000"
property-house-vic-reservoir-150276536,Reservoir,3073,11 Rathcown Road,-37.710946,145.033482,5,2,house,2,2026-04-17,650,m2,"$1,068,000"
property-townhouse-vic-reservoir-150084512,Reservoir,3073,3/154 Broadway,-37.71752974,145.0159805,3,2,townhouse,2,2026-04-17,,,"$715,000"
property-house-vic-reservoir-150467472,Reservoir,3073,82 Broadhurst Avenue,-37.707676,144.99718,3,1,house,3,2026-04-16,,,"$1,122,500"
