URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-house-vic-thornbury-150781136,Thornbury,3071,244A Rossmoyne Street,-37.75897658,145.0163138,3,2,house,4,2026-05-04,,,"$1,575,000"
property-house-vic-thornbury-150809292,Thornbury,3071,184 Harold Street,-37.75525863,144.9868328,3,2,house,2,2026-05-02,,,"$1,730,000"
property-townhouse-vic-thornbury-150258752,Thornbury,3071,3/236 Collins Street,-37.7569744,145.023932,2,2,townhouse,1,2026-04-29,,,"$820,500"
property-townhouse-vic-thornbury-150665160,Thornbury,3071,185 Mansfield Street,-37.75762961,145.0141192,1,1,townhouse,1,2026-04-25,121,m2,"$710,000"
property-townhouse-vic-thornbury-150060976,Thornbury,3071,80 Pender Street,-37.75481038,145.0126065,3,2,townhouse,2,2026-04-22,,,"$1,295,000"
property-house-vic-thornbury-150756580,Thornbury,3071,134 Dundas Street,-37.754019,145.015464,3,1,house,4,2026-04-16,,,"$1,350,000"
property-townhouse-vic-thornbury-150435320,Thornbury,3071,3/25 Wilmoth Street,-37.76426527,145.0156464,3,3,townhouse,2,2026-04-16,,,"$1,080,000"
property-house-vic-thornbury-150815032,Thornbury,3071,330 Raleigh Street,-37.76147,145.024982,3,1,house,1,2026-04-14,497,m2,"$1,155,000"
property-apartment-vic-thornbury-150832084,Thornbury,3071,5/82 Gooch Street,-37.758734,145.006424,2,1,apartment,1,2026-04-14,,,"$615,000"
property-house-vic-thornbury-150632248,Thornbury,3071,139 Rossmoyne Street,-37.757946,145.009479,3,1,house,2,2026-04-11,481,m2,"$1,685,000"
property-house-vic-thornbury-150553604,Thornbury,3071,49 Fenwick Street,-37.762051,145.004953,3,1,house,2,2026-04-11,347,m2,"$1,380,000"
property-apartment-vic-thornbury-150699448,Thornbury,3071,2/70 Collins Street,-37.755343,145.007502,1,1,apartment,1,2026-04-08,,,"$505,000"
property-house-vic-thornbury-150253900,Thornbury,3071,179 Hutton Street,-37.754605,144.986255,4,2,house,3,2026-04-02,,,"$1,750,000"
property-villa-vic-thornbury-150646404,Thornbury,3071,4/13 Strettle Street,-37.75426824,144.9832334,2,1,villa,1,2026-04-02,,,"$890,000"
property-unit-vic-thornbury-150639440,Thornbury,3071,30/8-10 Martin Street,-37.76112303,145.0011574,2,1,unit,,2026-04-02,,,"$665,000"
property-apartment-vic-thornbury-150191216,Thornbury,3071,16/30-34 Strettle Street,-37.75259628,144.9831201,2,1,apartment,2,2026-04-02,,,"$550,000"
property-townhouse-vic-thornbury-150550728,Thornbury,3071,4/4 Strettle Street,-37.7548845,144.9824562,3,2,townhouse,2,2026-04-01,,,"$1,300,000"
property-apartment-vic-thornbury-150584012,Thornbury,3071,3/114 Smith Street,-37.756602,144.99132,2,1,apartment,1,2026-04-01,,,"$641,000"
