URL,primary_school,secondary_school,preschool,train_station
property-apartment-vic-oakleigh-127235174,7.0,0.0,5.0,4.0
property-apartment-vic-oakleigh-134453422,7.0,0.0,5.0,4.0
property-apartment-vic-oakleigh-140882720,6.0,0.0,5.0,4.0
property-apartment-vic-oakleigh-142332140,8.0,0.0,1.0,4.0
property-apartment-vic-oakleigh-143285724,8.0,0.0,1.0,5.0
property-apartment-vic-oakleigh-145989980,8.0,0.0,1.0,4.0
property-apartment-vic-oakleigh-147087520,8.0,0.0,1.0,4.0
property-apartment-vic-oakleigh-147442888,8.0,0.0,1.0,4.0
property-apartment-vic-oakleigh-148759024,7.0,0.0,5.0,4.0
property-apartment-vic-oakleigh-148895200,7.0,0.0,5.0,4.0
property-apartment-vic-oakleigh-149275604,7.0,0.0,5.0,4.0
property-apartment-vic-reservoir-148930424,8.0,0.0,3.0,3.0
property-apartment-vic-reservoir-149323144,7.0,1.0,2.0,3.0
property-apartment-vic-reservoir-149489680,7.0,1.0,2.0,0.0
property-apartment-vic-thornbury-135030942,13.0,0.0,0.0,4.0
property-apartment-vic-thornbury-143027968,13.0,1.0,0.0,4.0
property-apartment-vic-thornbury-144737720,12.0,0.0,0.0,5.0
property-apartment-vic-thornbury-147982192,13.0,2.0,0.0,4.0
property-apartment-vic-thornbury-149328792,13.0,1.0,0.0,4.0
property-apartment-vic-thornbury-149642528,8.0,1.0,0.0,3.0
property-duplex+semi-detached-vic-oakleigh-146580668,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-104801307,4.0,0.0,4.0,1.0
property-house-vic-oakleigh-104815413,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-104818631,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-104919259,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-105230646,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-105249125,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-105990400,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-107395995,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-107586078,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-107893891,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-108434311,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-109048766,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-110032721,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-110044709,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-110228117,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-110388073,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-110534873,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-112318587,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-113122939,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-113207747,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-114182159,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-114325243,6.0,0.0,5.0,3.0
property-house-vic-oakleigh-115186147,5.0,0.0,3.0,2.0
property-house-vic-oakleigh-115374431,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-115849475,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-116104895,7.0,0.0,5.0,4.0
