URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price,primary_school,secondary_school,preschool,train_station,distance_to_cbd
property-house-vic-oakleigh-150785740,Oakleigh,3166,1 Bishop Street,-37.905174,145.093334,2.0,1.0,house,3.0,2026-05-02,495.0,"$1,280,000",7.0,0.0,5.0,4.0,14615.124855769878
property-house-vic-oakleigh-150712212,Oakleigh,3166,170 Atherton Road,-37.900633,145.102345,3.0,2.0,house,2.0,2026-04-18,466.0,"$1,155,500",6.0,0.0,6.0,2.0,14899.573009604503
property-unit-vic-oakleigh-150649632,Oakleigh,3166,1/119 Burlington Street,-37.90325,145.103349,3.0,1.0,unit,2.0,2026-04-18,285.0,"$872,500",6.0,0.0,7.0,2.0,15149.318232040521
property-house-vic-oakleigh-150703704,Oakleigh,3166,33 Tamar Grove,-37.898402,145.096431,3.0,2.0,house,1.0,2026-04-08,539.0,"$1,800,000",7.0,0.0,5.0,4.0,14338.597151243337
property-house-vic-oakleigh-150511528,Oakleigh,3166,191 Huntingdale Road,-37.901866,145.105043,3.0,2.0,house,3.0,2026-03-28,544.0,"$1,245,000",6.0,0.0,6.0,2.0,15170.535900230338
property-house-vic-oakleigh-150408448,Oakleigh,3166,2 Norfolk Avenue,-37.898842,145.100821,3.0,2.0,house,3.0,2026-03-23,352.0,"$1,292,500",6.0,0.0,5.0,2.0,14671.709276626181
property-house-vic-oakleigh-150388028,Oakleigh,3166,5 Saxon Court,-37.8934539,145.1042014,5.0,3.0,house,4.0,2026-03-21,875.0,"$1,967,500",5.0,0.0,3.0,2.0,14554.051557957839
property-unit-vic-oakleigh-150488064,Oakleigh,3166,2/22 Palmerston Grove,-37.897121,145.091596,2.0,1.0,unit,1.0,2026-03-18,250.0,"$930,000",7.0,0.0,5.0,4.0,13918.90004190223
property-house-vic-oakleigh-150352064,Oakleigh,3166,21 Hatter Street,-37.905686,145.087702,3.0,1.0,house,2.0,2026-03-14,506.0,"$1,525,000",6.0,0.0,4.0,4.0,14287.778833022394
property-house-vic-oakleigh-150256844,Oakleigh,3166,112 Burlington Street,-37.903514,145.102737,3.0,1.0,house,1.0,2026-03-14,666.0,"$1,300,000",6.0,0.0,6.0,2.0,15125.886887778923
property-townhouse-vic-oakleigh-150213492,Oakleigh,3166,2/41 Andrew Street,-37.90951179,145.0936862,4.0,2.0,townhouse,2.0,2026-02-28,241.0,"$1,310,000",7.0,0.0,4.0,2.0,14961.936302106405
property-house-vic-oakleigh-150069040,Oakleigh,3166,44 Haughton Road,-37.90402575,145.0924121,5.0,2.0,house,2.0,2026-02-28,357.0,"$1,250,000",6.0,0.0,5.0,4.0,14469.980859239853
property-house-vic-oakleigh-150115688,Oakleigh,3166,96 Burlington Street,-37.903275,145.100787,2.0,1.0,house,4.0,2026-02-21,669.0,"$1,353,000",6.0,0.0,6.0,2.0,14976.345958256703
property-townhouse-vic-oakleigh-150071136,Oakleigh,3166,1/7 Holland Court,-37.90075905,145.0968711,2.0,2.0,townhouse,1.0,2026-02-21,240.0,"$1,125,000",7.0,0.0,5.0,4.0,14533.27410637268
property-unit-vic-oakleigh-150030256,Oakleigh,3166,1/3 Tamar Grove,-37.89652601,145.0968512,3.0,1.0,unit,2.0,2026-02-19,273.0,"$1,160,000",7.0,0.0,5.0,4.0,14238.632500946247
property-house-vic-oakleigh-149765764,Oakleigh,3166,140 Atherton Road,-37.900235,145.099478,4.0,3.0,house,2.0,2025-12-20,628.0,"$1,571,000",7.0,0.0,6.0,2.0,14674.705820584733
property-house-vic-oakleigh-149753276,Oakleigh,3166,23 George Street,-37.902609,145.101942,3.0,2.0,house,2.0,2025-12-20,544.0,"$1,475,000",6.0,0.0,7.0,2.0,15008.431904714867
property-house-vic-oakleigh-149160636,Oakleigh,3166,112 Warrigal Road,-37.904796,145.086178,4.0,1.0,house,2.0,2025-12-15,489.0,"$890,000",6.0,0.0,4.0,4.0,14122.516072819946
property-house-vic-oakleigh-149455824,Oakleigh,3166,20 Eastgate Street,-37.905674,145.08917,3.0,1.0,house,1.0,2025-11-25,534.0,"$1,450,000",6.0,0.0,4.0,4.0,14381.309059391644
property-apartment-vic-oakleigh-147442888,Oakleigh,3166,5/83-85 Drummond Street,-37.89241813,145.0906601,2.0,1.0,apartment,1.0,2025-11-19,73.0,"$460,000",8.0,0.0,1.0,4.0,13529.435830710458
property-unit-vic-oakleigh-149403384,Oakleigh,3166,1149A North Road,-37.909732,145.088367,2.0,1.0,unit,2.0,2025-11-15,262.0,"$730,000",6.0,0.0,4.0,3.0,14640.226980693487
